,location,title,company,salary,salrange
168,"Chicago, IL 60654 (Loop area)",Associate Data Scientist,No Company Listed,No Salary Listed,60000
169,"Chicago, IL",Data Scientist,Mintel,No Salary Listed,60000
170,"Chicago, IL",Statistician,Rush University Medical Center,No Salary Listed,60000
171,"Chicago, IL",Data Scientist,HERE,No Salary Listed,60000
172,"Chicago, IL","Advisory Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,60000
173,"Chicago, IL","Consulting Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,60000
174,"Chicago, IL",Watson Health - Data Miner - Truven,IBM,No Salary Listed,60000
175,"Chicago, IL 60606 (Loop area)",Data Scientist,Conversant Media,No Salary Listed,60000
176,"Chicago, IL","Analyst/Senior Analyst, Advanced Analytics",Liberty Mutual,"$73,300 - $114,900 a year",60000
177,"Chicago, IL",Data Scientist,AllianceData,No Salary Listed,60000
178,"Chicago, IL",Data Scientist,Epsilon,No Salary Listed,60000
179,"Chicago, IL 60601 (Loop area)",Data Scientist,KPMG,No Salary Listed,60000
180,"Chicago, IL",Data Scientist,"Vizient, Inc.",No Salary Listed,60000
181,"Lisle, IL",Data Scientist Lead,"Navistar, Inc.",No Salary Listed,60000
182,"Chicago, IL",Scientist - Operations Research,United Airlines,No Salary Listed,60000
183,"Chicago, IL 60601 (Loop area)",Scientist - Operations Research,United Airlines Inc.,No Salary Listed,60000
184,"Chicago, IL",Data Scientist,Huxley Associates,"$110,000 a year",60000
185,"Chicago, IL 60601 (Loop area)",Scientist - Data and Statistics,United Airlines Inc.,No Salary Listed,60000
186,"Chicago, IL",Senior Data Science Consultant,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",No Salary Listed,60000
187,"Chicago, IL",Data Scientist,No Company Listed,No Salary Listed,60000
188,"Chicago, IL",Insurance Data Scientist 74956,No Company Listed,No Salary Listed,60000
189,"Chicago, IL 60647 (Logan Square area)","Research Scientist, Supply Chain",Coyote Logistics,No Salary Listed,60000
